Title,Composer,Rhythm,TimeSignature,Key,Year
"Ruby, My Dear",Thelonious Monk,Ballad,4/4,Eb,1947
S.O.S.,Wes Montgomery,Up Tempo Swing,4/4,Cmin,1957
S' Wonderful,George Gershwin,Medium Up Swing,4/4,Eb,1937
S'posin',Paul Denniker,Medium Swing,4/4,Bb,1928
"Saga Of Harrison Crabfeathers, The",Steve Kuhn,Waltz,3/4,Emin,1968
Sail Away,Tom Harrell,Bossa Nova,4/4,,1973
Salt Peanuts,Dizzy Gillespie,Up Tempo Swing,4/4,Bb,1944
Samba De Orfeu,Luiz Bonfa,Bossa Nova,4/4,,1960
San Francisco Holiday,Thelonious Monk,Medium Swing,4/4,Eb,1958
Sandu,Clifford Brown,Medium Swing,4/4,Eb,1955
Satellite,John Coltrane,Up Tempo Swing,4/4,G,1964
Satin Doll,Strayhorn-Ellington,Medium Swing,4/4,,1958
Save Your Love For Me,Buddy Johnson,Slow Swing,4/4,D,1959
Say It (Over And Over Again),Frank Loesser,Ballad,4/4,Eb,1952
Say the Brother's Name,Pat Metheny,Even 8ths,4/4,Bb,1976
Scotch And Soda,Dave Guard,Slow Swing,4/4,Eb,1949
Scrapple From The Apple,Charlie Parker,Up Tempo Swing,4/4,F,1946
Sea Journey,Chick Corea,Latin,4/4,Amin,1978
Search For Peace,McCoy Tyner,Ballad,4/4,,1961
"Second Star To The Right, The",Sammy Fain,Slow Swing,4/4,Eb,1950
"Second Time Around, The",Jimmy Van-Heusen,Medium Swing,4/4,,1956
Secret Love,Sammy Fain,Ballad,4/4,Eb,1953
Segment,Charlie Parker,Up Tempo Swing,4/4,Bbmin,1955
Sentimental Journey,Brown-Green-Homer,Medium Swing,4/4,,1946
September In The Rain,Harry Warren,Medium Swing,4/4,Eb,1931
September Song,Kurt Weill,Ballad,4/4,,1938
Serenade To A Cuckoo,Roland Kirk,Medium Swing,4/4,Fmin,1967
Serenade To A Soul Sister,Horace Silver,Waltz,3/4,Ebmin,1968
Serene,Eric Dolphy,Slow Swing,4/4,Eb,1959
Serenity,Joe Henderson,Medium Swing,4/4,Eb,1960
Serpent's Tooth,Miles Davis,Medium Up Swing,4/4,Bb,1952
Seven Come Eleven,Goodman-Christian,Medium Up Swing,4/4,Ab,1939
Seven Steps To Heaven,Victor Feldman,Up Tempo Swing,4/4,F,1963
"Shadow Of Your Smile, The",Johnny Mandel,Bossa Nova,4/4,G,1965
Shaw 'Nuff,Charlie Parker,Up Tempo Swing,4/4,Bb,1945
She's Funny That Way,Charles Daniels,Ballad,4/4,Eb,1932
Shine,Dabney-Mack-Brown,Up Tempo Swing,4/4,Eb,1929
Shiny Stockings,Frank Foster,Medium Swing,4/4,F,1958
Shutterbug,J.J. Johnson,Up Tempo Swing,4/4,Gmin,1976
Si Si,Charlie Parker,Medium Swing,4/4,F,1957
Sidewinder,Lee Morgan,Funk,4/4,Eb,1964
Silver's Serenade,Horace Silver,Medium Swing,4/4,G,1963
Simone,Frank Foster,Waltz,3/4,Dmin,1976
Since I Fell For You,Buddy Johnson,Slow Swing,4/4,Eb,1946
Sippin' At Bells,Miles Davis,Medium Up Swing,4/4,F,1946
Skating In Central Park,John Lewis,Waltz,3/4,,1959
Skippy,Thelonious Monk,Medium Swing,4/4,Ab,1952
Skylark,Hoagy Carmichael,Ballad,4/4,Eb,1941
Skyliner,Charlie Barnet,Medium Up Swing,4/4,,1947
Slipped Disc,Benny Goodman,Medium Swing,4/4,Ab,1946
Slow Hot Wind,Henry Mancini,Bossa Nova,4/4,,1962
Smile,Charles Chaplin,Ballad,4/4,F,1959
Smoke Gets In Your Eyes,Jerome Kern,Ballad,4/4,Eb,1933
Smoke Rings,Gifford-Washington,Slow Swing,4/4,F,1934
Sno' Peas,Phil Markowitz,Waltz,3/4,Ebmin,1972
Só Danço Samba,Antonio-Carlos Jobim,Bossa Nova,4/4,,1961
So In Love,Cole Porter,Up Tempo Swing,4/4,Fmin,1944
So Many Stars,Sergio Mendez,Bossa Nova,4/4,F,1967
So Nice (Summer Samba),Marco Valles,Bossa Nova,4/4,F,1966
So Tender,Keith Jarrett,Even 8ths,4/4,A,1964
So What,Miles Davis,Up Tempo Swing,4/4,Dmin,1959
Social Call,Gigi Gryce,Medium Swing,4/4,Db,1971
"Softly, As In A Morning Sunrise",Sigmund Romberg,Medium Swing,4/4,Cmin,1930
Solar,Miles Davis,Medium Swing,4/4,Cmin,1954
Solitude,Duke Ellington,Ballad,4/4,Eb,1930
Some Enchanted Evening,Richard Rodgers,Ballad,4/4,,1949
Some Other Blues,John Coltrane,Medium Up Swing,4/4,F,1955
Some Other Spring,Herzog-Kitchings,Medium Swing,4/4,,1957
Some Other Time,Leonard Bernstein,Ballad,4/4,,1941
Somebody Loves Me,George Gershwin,Medium Swing,4/4,F,1924
Someday My Prince Will Come,Frank Churchill,Waltz,3/4,Bb,1959
Someday You'll Be Sorry,Louis Armstrong,Medium Swing,4/4,Eb,1944
Someone To Watch Over Me,George Gershwin,Ballad,4/4,Eb,1931
Sometime Ago,Sergio Mikanovich,Waltz,3/4,,1969
Sometimes I'm Happy,Vincent Youmans,Medium Swing,4/4,F,1929
Somewhere,Leonard Bernstein,Slow Swing,4/4,Eb,1950
Song For My Father,Horace Silver,Latin,4/4,Fmin,1964
Song For My Lady,McCoy Tyner,Medium Up Swing,3/4,Dmin,1974
Song For Strayhorn,Gerry Mulligan,Ballad,4/4,D,1972
"Song Is You, The",Jerome Kern,Up Tempo Swing,4/4,,1930
Sonnymoon For Two,Sonny Rollins,Medium Up Swing,4/4,Bb,1957
Soon,George Gershwin,Medium Swing,4/4,Eb,1932
Sophisticated Lady,Duke Ellington,Ballad,4/4,Ab,1933
"Sorcerer, The",Herbie Hancock,Up Tempo Swing,4/4,Db,1966
Soul Eyes,Mal Waldron,Ballad,4/4,Cmin,1957
Soultrane,Tadd Dameron,Ballad,4/4,Eb,1957
Sound Lee,Lee Konitz,Medium Up Swing,4/4,Eb,1959
Spain,Chick Corea,Latin,4/4,Bmin,1972
Speak Like A Child,Herbie Hancock,Bossa Nova,4/4,Amin,1967
Speak Low,Kurt Weill,Medium Swing,4/4,F,1930
Speak No Evil,Wayne Shorter,Medium Swing,4/4,Cmin,1964
Spiral,John Coltrane,Medium Up Swing,4/4,Bmin,1976
Spring Can Really Hang You Up The Most,Tommy Wolf,Ballad,4/4,,1957
Spring Is Here,Richard Rodgers,Ballad,4/4,Ab,1935
St. James Infirmary,Joe Primrose,Medium Swing,4/4,Fmin,1919
St. Louis Blues,W.C. Handy,Medium Swing,4/4,G,1917
St. Thomas,Sonny Rollins,Latin,4/4,,1959
Stablemates,Benny Golson,Medium Swing,4/4,Db,1955
Stairway To The Stars,Matt Maineck,Ballad,4/4,,1929
Star Dust,Hoagy Carmichael,Ballad,4/4,Db,1927
Star Eyes,Gene DePaul,Medium Swing,4/4,Eb,1938
"Star-Crossed Lovers, The",Strayhorn-Ellington,Ballad,4/4,Db,1957
Stars Fell On Alabama,Frank Perkins,Ballad,4/4,,1934
Stella By Starlight,Victor Young,Medium Swing,4/4,Bb,1944
Stolen Moments,Oliver Nelson,Medium Swing,4/4,Cmin,1965
Stompin' At The Savoy,Webb-Goodman-Sampson,Medium Swing,4/4,Db,1926
Stormy Weather,Harold Arlen,Ballad,4/4,G,1933
Straight Life,Freddie Hubbard,Latin,4/4,F,1966
Straight No Chaser,Thelonious Monk,Medium Up Swing,4/4,Bb,1957
Straight Street,John Coltrane,Up Tempo Swing,4/4,Ebmin,1962
Straighten Up And Fly Right,Cole-Mills,Medium Swing,4/4,Ab,1948
Strangers In The Night,Bert Kaempfert,Slow Swing,4/4,F,1966
Street Of Dreams,Victor Young,Ballad,4/4,Eb,1939
Strike Up The Band,George Gershwin,Up Tempo Swing,4/4,Eb,1927
Strollin',Horace Silver,Medium Swing,4/4,Db,1974
Struttin' With Some Barbecue,Lillian Armstrong,Medium Swing,4/4,F,1917
Subconscious Lee,Lee Konitz,Medium Up Swing,4/4,,1949
Suddenly It's Spring,Jimmy Van-Heusen,Medium Swing,4/4,Bb,1960
Sugar,Stanley Turrentine,Medium Swing,4/4,Cmin,1929
Summer In Central Park,Horace Silver,Waltz,3/4,F,1963
"Summer Knows, The",Michel Legrand,Ballad,4/4,Fmin,1969
Summer Night,Harry Warren,Medium Swing,4/4,Cmin,1957
Summer Serenade,Benny Carter,Bossa Nova,,Db,1968
"Summer Wind, The",Meyer-Mercer,Medium Swing,4/4,F,1966
Summertime,George Gershwin,Slow Swing,4/4,Amin,1935
Sunny,Bobby Hebb,Rock Pop,4/4,Amin,1962
Sunshower,Kenny Barron,Bossa Nova,4/4,Amin,1946
Surrey With The Fringe On The Top,Richard Rodgers,Medium Swing,4/4,Bb,1943
Sway,Ruiz-Gimbel,Latin,4/4,Gmin,1963
Sweet And Lovely,Arnheim-Daniels-Tobias,Medium Swing,4/4,,1930
Sweet Georgia Bright,Charles Lloyd,Medium Up Swing,4/4,,1970
Sweet Georgia Brown,Pinkard-Casey-Bernie,Up Tempo Swing,4/4,Ab,1926
Sweet Lorraine,Cliff Burwell,Medium Swing,4/4,G,1930
"Sweet Sue, Just You",Harris-Young,Medium Up Swing,4/4,G,1932
"Sweetest Sounds, The",Richard Rodgers,Medium Up Swing,4/4,F,1960
Swinging At The Haven,Ellis Marsalis,Up Tempo Swing,4/4,F,1963
"Swinging Shepherd Blues, The",Koffman-Roberts-Jacobson,Slow Swing,4/4,Bb,1956
Tadd's Delight,Tadd Dameron,Medium Up Swing,4/4,Ab,1954
Take Five,Paul Desmond,Medium Up Swing,5/4,Ebmin,1959
Take The A Train,Billy Strayhorn,Medium Up Swing,4/4,,1939
Taking A Chance On Love,Vernon Duke,Medium Swing,4/4,F,1943
Tangerine,Victor Schertzinger,Medium Swing,4/4,F,1944
Tea For Two,Vincent Youmans,Medium Swing,4/4,Ab,1925
Teach Me Tonight,Gene DePaul,Slow Swing,4/4,Eb,1954
Tell Me A Bedtime Story,Herbie Hancock,Funk,4/4,,1978
Tempus Fugit,Bud Powell,Up Tempo Swing,4/4,Dmin,1949
Tenderly,Walter Gross,Ballad,4/4,Eb,1946
Tenor Madness,Sonny Rollins,Medium Up Swing,4/4,Bb,1957
Thanks For The Memory,Leo Robin,Medium Swing,4/4,F,1937
That Old Feeling,Brown-Fain,Medium Swing,4/4,,1940
That Ole Devil Called Love,Doris Fisher,Medium Swing,4/4,Ab,1944
That's All,Haymes-Brandt,Medium Swing,4/4,Bb,1957
That's Amore (That's Love),Warren-Brooks,Medium Swing,3/4,Bb,1953
That's Life,Kay-Gordon,Slow Swing,4/4,G,1966
Thelonious,Thelonious Monk,Medium Swing,4/4,Bb,1948
Them There Eyes,Tracy-Tauber-Pinkard,Up Tempo Swing,4/4,Ab,1924
Theme From Family Guy,Murphy-MacFarlane-Zuckerman,Medium Swing,4/4,F,1999
"Theme, The",Miles Davis,Up Tempo Swing,4/4,Bb,1962
There Is No Greater Love,Isham Jones,Medium Swing,4/4,Bb,1939
There Will Never Be Another You,Harry Warren,Medium Up Swing,4/4,Eb,1946
There'll Be Some Changes Made,Benton Overstreet,Medium Swing,4/4,Bb,1927
There's A Lull In My Life,Harry Revel,Ballad,4/4,F,1935
There's A Small Hotel,Richard Rodgers,Medium Swing,4/4,G,1930
There's No You,Hal Hopper,Ballad,4/4,F,1933
These Foolish Things,Strachey-Link,Ballad,4/4,Eb,1934
They All Laughed,George Gershwin,Medium Swing,4/4,G,1937
They Can't Take That Away From Me,George Gershwin,Medium Swing,4/4,Eb,1937
They Didn't Believe Me,Jerome Kern,Medium Swing,4/4,G,1914
They Say It's Wonderful,Irving Berlin,Medium Swing,4/4,F,1946
Things Ain't What They Used To Be,Duke Ellington,Medium Swing,4/4,Db,1941
