Title,Composer,Rhythm,TimeSignature,Key,Year
You Must Believe In Spring,Michel Legrand,Ballad,4/4,Cmin,1969
You Stepped Out Of A Dream,Nacio-Herb-Brown,Medium Swing,4/4,,1936
You Took Advantage Of Me,Richard Rodgers,Medium Swing,4/4,Eb,1928
You Turned The Tables on Me,Louis Alter,Medium Swing,4/4,F,1936
You Won't Forget Me,Goell-Spielman,Ballad,4/4,Bbmin,1946
You'd Be So Nice To Come Home To,Cole Porter,Medium Up Swing,4/4,Amin,1934
You're Blasé,Ord Hamilton,Medium Swing,4/4,F,1934
You're Everything,Chick Corea,Bossa Nova,4/4,A,1974
You're Laughing At Me,Irving Berlin,Medium Swing,,Eb,1937
You're My Everything,Harry Warren,Medium Swing,4/4,,1934
You're My Thrill,Jay Gorney,Medium Swing,4/4,A,1936
You're Nobody Till Somebody Loves You,Morgan-Stock-Cavanaugh,Medium Swing,4/4,Eb,1949
You're The Top,Cole Porter,Medium Swing,4/4,Eb,1930
You've Changed,Carl Fisher,Ballad,4/4,Eb,1935
Young And Foolish,Albert Hague,Ballad,4/4,,1940
Young At Heart,Johnny Richards,Ballad,4/4,Bb,1954
Yours Is My Heart Alone,Franz Lehar,Medium Swing,4/4,F,1909
Zing Went The Strings Of My Heart,James Hanley,Medium Swing,4/4,Eb,1928
Zingaro (Retrato Em Branco E Preto),Antonio-Carlos Jobim,Bossa Nova,4/4,Gmin,1967
Zoltan,Woody Shaw,Latin,4/4,,1965
