Title,Composer,Rhythm,TimeSignature,Sections,Key,Year
Chicago,Fred Fisher,Medium Swing,4/4,"[{'Label': 'B', 'MainSegment': {'Chords': 'Cmaj7,Dm7|Em7,A7|Dm7,G7|Dm7,A7#5|Dm7|G7|Cmaj7/E,Eb07|Dm7,G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,Dm7|Em7,A7|D7|D7,A7b9|Dm7,G7|Dm7,G7|Bb7,A7|Ab7,G7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Cmaj7,Dm7|Em7,A7|Dm7,G7|Dm7,A7#5|Bm7b5|E7b9|Am7,Ab7|Gm7,Gb7'}}, {'MainSegment': {'Chords': 'Fmaj7|Bb9|Em7|A7|Dm7|G7|C6,A7|Dm7,G7'}}]",,1946
"Chicken, The",Pee-Wee Ellis,Funk,4/4,"[{'Label': 'i', 'Repeats': 1, 'MainSegment': {'Chords': 'Bb7,Eb7|Bb7,Eb7|Bb7,Eb7|Bb7,Eb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bb7|Bb7|Bb7|Bb7|Eb7|Eb7|D7|G7|C7|C7|C7|Bb7,Eb7|Bb7,Eb7|Bb7,Eb7|Bb7,Eb7'}}]",Bb,1976
Children Of The Night,Wayne Shorter,Medium Swing,4/4,"[{'MainSegment': {'Chords': 'Cm11|Cm11|Abmaj7|Abmaj7|Cm11|Cm11|Abmaj7|Abmaj7|Emaj7|Ebm7,Ab7|Dbmaj7|Cm7,F7|Bbmaj7|Abmaj7|Gm7,Gb7|Fm7,Bb7|Ebmaj7|Dm7,G7|Cmaj7|Cmaj7|Ebm7b5|Ebm7b5|Ebm7b5|Cm7b5,F7|Bbm7|Dbm7,Gb7|Emaj7|Eb7'}}]",Cmin,1966
Chucho,Paquito D'Rivera,Latin,4/4,"[{'Label': 'i', 'Repeats': 1, 'MainSegment': {'Chords': 'Dm|Em7b5,A7b9|Dm|Em7b5,A7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dm|Em7b5,A7b9|Dm|D7#9|Gm,Gm7/F|Em7b5,A7b9|Dm,Dbm|Cm7,F7|Bb7|Em7b5,A7b9|Dm|A7#9'}}]",Dmin,1976
Close Enough For Love,Mandel-Williams,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fm7,D7#5#9|G7b5#9,C7b9|Fm7,Bb7|Eb7,Ab7|Dbmaj7,Bbm7|G7,C7|F7,Bb7|Eb7,Ab7|Dbmaj7,G7|Gm7b5,C7b13'}, 'Endings': [{'Chords': 'Fm6,D7#5#9|G7b9,C7b9'}, {'Chords': 'Fm6|Cm7,F7b9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm7,E7#11|Eb9sus,Eb7b9|Abmaj7,Fm7|Dm7b5,G7b9#5|Em7,A7|Dm7,G7|C7,G7b9|Gm7b5,C7b13'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fm7,D7#5#9|G7b5#9,C7b9|Fm7,Bb7|Eb7,Ab7|Dbmaj7,Bbm7|G7,C7|F7,Bb7|Eb7,Ab7|Dbmaj7,G7|Gm7b5,C7b13|Fm6|Fm6'}}]",Ab,1974
Close Your Eyes,Bernice Petkere,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fm7b5|Bb7b9|Fm7b5|Bb7b9|Ebm6,Cm7b5|Fm7b5,Bb7b9'}, 'Endings': [{'Chords': 'Ebm6|Ebm6'}, {'Chords': 'Ebmaj7|Ebmaj7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm7|Eb7|Bbm7|Eb7|Ab7|Ab7|B7|Bb7b9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fm7b5|Bb7b9|Fm7b5|Bb7b9|Ebm6,Cm7b5|Fm7b5,Bb7b9|Ebm6|Ebm6'}}]",Ebmin,1937
Cold Duck Time,Eddie Harris,Rock Pop,4/4,"[{'Repeats': 1, 'MainSegment': {'Chords': 'F7|Bb7|F7|Bb7|F7|Bb7|F7|Bb7|Dbmaj7|Ebadd9,F7||'}}]",F,1969
Come Back To Me,"Alan Lerner, Burton Lane",Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gm7|C7|Gm7|C7|Fmaj7|Bbmaj7'}, 'Endings': [{'Chords': 'Am7|D7'}, {'Chords': 'Fmaj7|Bm7b5,E7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Am7|Bm7b5,E7|Am7|Bm7b5,E7|Am7|D7|Gm7|C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Gm7|C7|Am7b5|D7|Gm7|C7|Fmaj7|Am7,D7'}}]",F,1935
Come Fly With Me,Jimmy Van-Heusen,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7,C6|Em7,Eb07|Dm7|G7|Cmaj7,C6|Gm7,C7|Fmaj7|Bb7|Cmaj7,C6'}, 'Endings': [{'Chords': 'F7|E7,A7b9|D7,G7'}, {'Chords': 'F7,G7sus|C6,G7sus|C6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Ab|Abaug|Dbmaj7|Db6|Bbm7|Eb7|Ab6|Bbm7,Eb7sus|Ab,Abaug|Ab6|Gmaj7|Gmaj7,Em7|Am7|D7|G7,G7sus|G7,G7b9'}, 'Endings': [{'Chords': 'F7|Em7b5,Bb7|A7b9|D7|Dm7,G7|C6|Dm7,G7'}]}]",,1958
Come Rain Or Come Shine,Harold Arlen,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Em7b5,A7b9|Dm7|Dm7|G7|C7|Fmaj7|Cm7,F7|Bbm7|Fm7|Bbm7|Gm7,C7|Bm7b5(Dm7b5),E7b9(G7b9)|Am7b5(Cm6),D7b9|Am7b5,D7b9|Gm7,C7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7|Em7b5,A7b9|Dm7|Dm7|Bm7|E7|A7|A7|D7|D7|G7|Bb7,A7b9|Dm,Bm7b5|Em7b5,A7b9|Dm6|Gm7,C7'}}]",F,1946
Come Sunday,Duke Ellington,Ballad,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'F7|Eb7#11|F7,Gb7|G7|Cm7|F7|Bb,Eb6/Bb|Bb07,Bb6'}}, {'Label': 'B', 'MainSegment': {'Chords': 'D7,Eb7|D7|Gm7|C7|F7,Cm7|F7,,Ab7,G7|C9|F7#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'F7|Eb7#11|F7,Gb7|G7|Cm7|F7|Bb,Eb6/Bb|Bb07,Bb6'}}]",Bb,1940
Comes Love,Brown-Stept-Tobias,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Gm6|Gm6|D7b13|D7b13|Am7b5|D7b9|Gm6'}, 'Endings': [{'Chords': 'Am7b5,D7b9'}, {'Chords': 'Eb7,D7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'G7b13|G7b13|Cm7,G7b9|Cm7|F7|F7|Bb6|D7b13'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Gm6|Gm6|D7b13|D7b13|Am7b5|D7b9|Gm6|Am7b5,D7b9'}}]",Gmin,1930
Comrade Conrad,Bill Evans,Medium Swing,3/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbm7|Eb7sus,Eb9#5|Abmaj7|Dbmaj7|Gm7b5|C7#5#9|Fm7|Fm7/Eb|Dbmaj7|C7b9#5|Fm7|Fm7/Eb|Dm7b5|G7#5#9|Cm7|Cm7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm7|Bb7#5|Ebmaj7|Abmaj7|Dm7b5|G7#5#9|Cm7|Cm7/Bb|Abmaj7|G7b9#5|Cm7|Cm7/Bb|Am7b5|D7#5#9|Gm7|Gm7'}}]",Gmin,1971
Con Alma,Dizzy Gillespie,Afro,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Emaj7,G#7/D#|C#m7,B7|Bb7|Ebmaj7,,Ebm7,Ab7|Dbmaj7,F7/C|Bbm7,Ab7|G7|Cmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cm7b5|F7b9|F#m7|B7|Emaj7|Emaj7|Fm7|Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Emaj7,G#7/D#|C#m7,B7|Bb7|Ebmaj7,,Ebm7,Ab7|Dbmaj7,F7/C|Bbm7,Ab7|G7|Cmaj7'}}]",,1958
Conception,George Shearing,Medium Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Ebm7b5|Ab7b9|Dbmaj7,Bm7|Amaj7,Abmaj7|Abm7,Db7|Gb7,F7|Bb7,A7|Ab7,G7|F#m7,B7|Emaj7,Amaj7|Ebm7,Ab7|Dbmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'F#m7|B7alt|Emaj7,F#m7|Abm7,Db7|Gm7,C7|F#m7,B7|Em7|A7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebm7b5|Ab7b9|Dbmaj7,Bm7|Amaj7,Abmaj7|Abm7,Db7|Gb7,F7|Bb7,A7|Ab7,G7|F#m7,B7|Emaj7,Amaj7|Ebm7,Ab7|Dbmaj7'}}]",Db,1954
Conference Of The Birds,Dave Holland,Even 8ths,2/4,"[{'Label': 'i', 'Repeats': 1, 'MainSegment': {'Chords': 'Dm,Dm,F,F|Bb,Bb,Eb,Eb'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Dm,Dm,F,F|Bb,Bb,Eb,Eb|Dm,Dm,F,F|Bb,Bb,Eb,Eb|Dm,Dm,F,F|Bb,Bb,Eb,Eb|Dm,Dm,Dm/C,G/B,G/B|G/B'}}, {'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': ''}}]",F,1974
Confirmation,Charlie Parker,Up Tempo Swing,4/4,"[{'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7|Em7b5,A7b9|Dm7,G7|Cm7,F7|Bb7|Am7,D7'}, 'Endings': [{'Chords': 'G7|C7b9'}, {'Chords': 'Gm7,C7|Fmaj7'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'Cm7|F7|Bbmaj7|Bbmaj7|Ebm7|Ab7|Dbmaj7|Gm7,C7alt'}}, {'MainSegment': {'Chords': 'Fmaj7|Em7b5,A7b9|Dm7,G7|Cm7,F7|Bb7|Am7,D7|Gm7,C7|Fmaj7,C7'}}]",F,1946
Contemplation,McCoy Tyner,Waltz,3/4,[{'MainSegment': {'Chords': 'Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Abmaj7#11|Abmaj7#11|Abmaj7#11|Abmaj7#11|G7b9|G7b9|G7b9|G7b9'}}],Cmin,1968
Continuum,Jaco Pastorius,Funk,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Emaj7|Emaj7|Emaj7|Emaj7|Emaj7'}, 'Endings': [{'Chords': 'Amaj7|Amaj7|Emaj7'}, {'Chords': 'Bbm7|Am7|E07,Emaj7|Emaj7|Eb7sus|D7sus|Emaj7|Bm7/E,Am7/E|Emaj7'}]}]",E,1976
"Cool One, The",Benny Golson,Medium Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Bm7|E7|Bm7|E7|Am7|D7|Am7|D7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Gmaj7|Gmaj7|Bm7b5|E7b9|C#m7b5|Am7b5,D7#9|Gmaj7|C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bm7|E7|Bm7|E7|Am7|D7|Am7|D7'}}]",G,1959
Copenhagen,Davis-Melrose,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Ebm6|Bb|G7|C7|F7|Bb'}, 'Endings': [{'Chords': 'Bb,Bb7'}, {'Chords': 'Bb,F7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Bb|Cm/Bb,Dm/Bb|Bb|Gb|Bb|F7|Bb|Bb,F7|Bb|Cm/Bb,Dm/Bb|Bb|Gb|Bb|F7|Bb|Bb,Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebmaj7|Ebm6|Bb|G7|C7|F7|Bb|Bb,Bb7'}}]",Bb,1947
Coral,Keith Jarrett,Ballad,4/4,"[{'MainSegment': {'Chords': 'Cm7,F7|D/Bb,Bbmaj7|Am7b5,D7b9|Gm7,C7|Bmaj7,F#maj7/A#|G#m7,Bmaj7/F#|Gbmaj9#11,Gb7sus|Fm11,Dm7b5,G7b9,'}}]",Cmin,1959
Corcovado,Antonio-Carlos Jobim,Bossa Nova,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'D7/A|D7/A|Ab07|Ab07|Gm7|C7|F07,Fmaj7|Fmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Fm7|Bb7|Em7|A7b13|D7|D7|Dm7|Ab07'}}, {'Label': 'A', 'MainSegment': {'Chords': 'D7/A|D7/A|Ab07|Ab07|Gm7|C7|F07,Fmaj7|Fmaj7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Fm7|Bb7#11|Em7|Am7|Dm7|G7|Em7|A7b13|Dm7|G7'}}, {'MainSegment': {'Chords': 'C6'}}]",,1961
"Core, The",Freddie Hubbard,Up Tempo Swing,4/4,[{'MainSegment': {'Chords': 'Ebm7|Ebm7|Ebm7|Ebm7|Ebm7|Ebm7|Ebm7|Ebm7|Ebm7|Ebm7|Ebm7|Ebm7|Gb7|Fm7|Emaj7#11|Emaj7#11'}}],Ebmin,1964
Cottage For Sale,Willard Robison,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Eb6|G7|C7b9|Fm7,Abm6|Gm7,C7|Fm7,Abm6|F7,Bb7'}, 'Endings': [{'Chords': 'Eb6,Bb7'}, {'Chords': 'Eb6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'G7b13|G7b13|C7|C7|F7|F7|Fm7|Bb7'}}, {'Label': 'C', 'MainSegment': {'Chords': 'Eb6|G7|C7b9|Fm7,Abm6|Gm7,C7|Fm7,Abm6|F7,Bb7|Eb6'}}]",Eb,1947
Cotton Tail,Duke Ellington,Up Tempo Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bb6,Gm7|Cm7,F7|Dm7,G7|Cm7,F7|Bb6,Bb7/D|Eb6,E07|Bb6/F,Gm7'}, 'Endings': [{'Chords': 'Cm7,F7'}, {'Chords': 'F7,Bb6'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'D7|D7|G7|G7|C7|C7|F7|F7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bb6,Gm7|Cm7,F7|Dm7,G7|Cm7,F7|Bb6,Bb7/D|Eb6,E07|Bb6/F,Gm7|F7,Bb6'}}]",Bb,1940
Could It Be You,Cole Porter,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Bbmaj7|Cm7,F7|Bbmaj7|Gm7,Gbm7,Fm7,Bb7|Ebmaj7|Fm7,Bb7|Ebmaj7|Gm7,C7'}, 'Endings': [{'Chords': 'Fmaj7|A7b9|Dm7,G7|Am7b5,D7b9|Gm7|C7|F7|Cm7,F7'}, {'Chords': 'Bbmaj7|D7|Ebmaj7|Ebm7,Ab7|Bbmaj7|C7,F7|Bb6|Cm7,F7'}]}]",Bb,1963
Countdown,John Coltrane,Up Tempo Swing,4/4,"[{'MainSegment': {'Chords': 'Em7,F7|Bbmaj7,Db7|Gbmaj7,A7|Dmaj7|Dm7,Eb7|Abmaj7,B7|Emaj7,G7|Cmaj7|Cm7,Db7|Gbmaj7,A7|Dmaj7,F7|Bbmaj7|Em7|F7|Bbmaj7|A7(Eb7)'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Em7,F7|Bbmaj7,Db7|Gbmaj7,F7|Bbmaj7,A7|Dmaj7,Bbmaj7|Gbmaj7,Dmaj7|Bbmaj7,Gbmaj7|Dmaj7'}}]",Bb,1959
Country,Keith Jarrett,Even 8ths,4/4,"[{'Label': 'B', 'Repeats': 1, 'MainSegment': {'Chords': 'Ab|Bb|Eb(Cm)|Eb7(Cm)|Ab|Bb,G/B|Cm|Cm,Eb7/Bb|Ab|Bb,G/B|Cm|F7,F#07|Eb/G|Ab|Bb7,Eb|Eb'}}, {'Repeats': 1, 'MainSegment': {'Chords': 'Ab|Fm7|Gm7|Cm7|G7b9|Ab|F7sus|F#07|Eb/Bb|Bb7sus|Dm11,G7|Cm,Eb7/Bb,Ab,|Eb/G|Ab|Bb7,Eb|Eb'}}]",Eb,na
Cousin Mary,John Coltrane,Medium Up Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Ab7|Ab7|Ab7|Ab7|Db7|Db7|Ab7|Ab7|D7|Db7|Ab7|Ab7'}}]",Ab,1960
Crazy He Calls Me,Carl Sigman,Ballad,4/4,"[{'Label': 'B', 'MainSegment': {'Chords': 'Fmaj7,Gm7|Am7,Gm7|Fmaj7,Bb7#11|Am7,D7|Gm7,C7|Am7,D7'}, 'Endings': [{'Chords': 'Gm7,D9#5|Gm7,C7b9'}, {'Chords': 'Gm7,C7|F6,,Cm7,F7'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'Bbm7,Eb7|Abmaj7,Fm7|Dm7,G7|C6,A7|Dm7,G7|C6,Am7|Dm7,G7|Gm7,C7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7,Gm7|Am7,Gm7|Fmaj7,Bb7#11|Am7,D7|Gm7,C7|Am7,D7|Gm7,C7|F6,C7sus'}}]",F,1942
Crazy Rhythm,Wolfe-Kahn-Meyer,Up Tempo Swing,4/4,"[{'Label': 'B', 'MainSegment': {'Chords': 'F6|F6|F6|D7|Gm7|C7b9'}, 'Endings': [{'Chords': 'F6,D7b9|Gm7,C7b9'}, {'Chords': 'F6|F6'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'Cm7|F7|Bbmaj7|Bbmaj7|Bbm7|Eb7|A7#5,D9|G7#5,C9'}}, {'MainSegment': {'Chords': 'F6|F6|G7|G7|Gm7|C7|F6,D7b9|Gm7,C7b9'}}]",F,1931
Creole Love Call,Duke Ellington,Medium Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Bbmaj7|Bbmaj7|Bb7|Ebmaj7|Ebmaj7|Ebmaj7|Bbmaj7|F7|Cm7,F7|Bb6,Ebmaj7|Bb6'}}, {'Label': 'B', 'Repeats': 1, 'MainSegment': {'Chords': 'Bb7|F7|Bb7|Bb7|Eb7|Eb7,E07|Bb7|G7|Cm7|F7|Bb7|Bb7'}}]",Bb,1927
Crepuscule With Nellie,Thelonious Monk,Ballad,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Bb7|Eb7|Ab7,Db7|Gb7|Cm7,F7b9|Bm7,E7,Bbm7,Eb7|Abadd9|Gb7#11'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Abm7,Ab6|Bm7,,Bbm7,Eb7|Ab/Eb,Bbm/Eb,Cm/Eb,Db/Eb|Eb7sus,Eb7|Fm7,Cm7,Bbm7,Eb7|Abm,Ab6,Db,|D,Eb,Eb7,Gb|G,Ab,A,Bb'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bb7|Eb7|Ab7,Db7|Gb7|Cm7,F7b9|Bm7,E7,Bbm7,Eb7|Abadd9|Gb7#11'}}, {'MainSegment': {'Chords': 'Abm6,Ab6|A,Bb|B,C7'}}]",Ab,1959
Crisis,Freddie Hubbard,Medium Swing,4/4,"[{'Label': 'i', 'Repeats': 1, 'MainSegment': {'Chords': 'B7sus|B7sus|B7sus|B7sus'}}, {'Label': 'A', 'MainSegment': {'Chords': 'B7sus|B7sus|Db7/B|Db7/B|Cmaj7/B|Cmaj7/B|B7|B7|Bb7|Bb7|A7|F#7#9|Bm|F#7#9|Bm'}, 'Endings': [{'Chords': 'F#7#9'}, {'Chords': 'Bm'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'G7|C#m7b5,F#7#9|Bm7,E7|Am7,D7|Abm7|Db7|Ebm7,D7|C#m7b5,F#7#9'}}, {'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Bm|F#7#9'}}]",B,1968
Criss Cross,Thelonious Monk,Medium Swing,4/4,"[{'Label': 'B', 'Repeats': 1, 'MainSegment': {'Chords': 'Gm6|Gm6|Gb7#9|Bb13|Dm7|G7#11|Gb13|Gb13'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cm7|F7|Bbmaj7|Cm7|F7|Bbmaj7'}}, {'MainSegment': {'Chords': 'Gm6|Gm6|Gb7#9|Bb13|Dm7|G7#11|Gb13|Gb13'}}]",Gmin,1958
Cry Me A River,Arthur Hamilton,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cm,Cmb6|Cm6,Cm7|Fm7,Bb7|Ebmaj7,G7b9|Gm7b5,C7b9|F9|Fm7,Bb7sus'}, 'Endings': [{'Chords': 'Eb6,G7b13'}, {'Chords': 'Eb6,,Am7b5,D7'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Gm|Cm6,D7b9|Gm,Em7b5|Eb7#11,D7b9|Gm,Em7b5|Am7b5,D7b9|Gmaj7|Dm7,G7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Cm,Cmb6|Cm6,Cm7|Fm7,Bb7|Ebmaj7,G7b9|Gm7b5,C7b9|F9|Fm7,Bb7sus|Eb6,G7b13'}}]",Eb,1934
Crystal Silence,Chick Corea,Ballad,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Am7|Em7|Fmaj7#11|Bm7|Bbmaj7#11|Am9'}, 'Endings': [{'Chords': 'Bm,C,D7,E7|Am7|Bbmaj7#11'}, {'Chords': 'Dm9|E7#9|Dm9|E7#9|Fmaj7#11|G7sus|Am9|Am9'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Dmaj7|Am7|Bbmaj7|Fm7|Cmaj7|Gm7|B7b13|E7sus,E7#9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Am7|Em7|Fmaj7#11|Bm7|Bbmaj7#11|Am9|Bm,C,D7,E7|Am7|Bbmaj7#11'}}]",Amin,1972
Cute,Neal Hefti,Medium Swing,4/4,"[{'Label': 'i', 'MainSegment': {'Chords': 'Bb6,,Am7,Ab7|Gm7,,C7,F6|||Bb6,,Am7,Ab7|Gm7,,C7,F7|||Bb6,Am7,Gm7,Bbm||F,Bb6,A7,Dm7|'}, 'Endings': [{'Chords': 'Dm6,,Dm/C,Bm7b5|Bm7,,E7,A||'}, {'Chords': 'Bb6,,Am7,Ab7|Gm7,,C7,F6||'}]}, {'Label': 'A', 'MainSegment': {'Chords': 'Gm7|C7|Am7|D7|Gm7|C7|Cm7|F7|Bbmaj7|Eb7|Am7|Dm7'}, 'Endings': [{'Chords': 'Bm7b5|E7b9|Amaj7|Am7b5,Ab7'}, {'Chords': 'Gm7|C7sus,C7b9|Fmaj7,Gm7|Am7,D7b9'}]}]",F,1939
Cyclic Episode,Sam Rivers,Medium Swing,4/4,[{'MainSegment': {'Chords': 'Bbm7|Dbm7|Em7|Gm7|Cm7|D7#9|Gm7|A7b9|Dm7|Bm7|Abm7|Fm7|Dm7|Eb/D|Ebm7|Gbm7'}}],,1976
Cynthia's In Love,Owens-White-Gish,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Fm7|Bb13,Bb7b9|Eb6,Abm6|Gm9,Gb07|Fm7|Bb7sus'}, 'Endings': [{'Chords': 'Gm7|C7b9'}, {'Chords': 'Bbm7|A9#11'}]}, {'Label': 'B', 'MainSegment': {'Chords': 'Abmaj7|Am7b5,D7|Gm7|C13|Fm7|F#m7,B13|Fm7,Bb13|Db9,C9'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fm7|Bb13,Bb7b9|Eb6,Abm6|Gm9,Gb07|Fm7,B9#5|Bb7sus,Bb7b9|Eb69|Eb69'}}]",Eb,1955
Daahoud,Clifford Brown,Up Tempo Swing,4/4,"[{'Label': 'A', 'Repeats': 1, 'MainSegment': {'Chords': 'Ebm7,Ab7|Dbm7,Gb7|Bmaj7|Fm7,Bb7|Ebm7(Abm7),(Gb6)|B7(F7),Bb7(Emaj7)|Ebmaj7|Ebmaj7'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bbm7|Eb7|Abmaj7|Abmaj7|Abm7|Db7|Gbmaj7|Fm7,Bb7'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Ebm7,Ab7|Dbm7,Gb7|Bmaj7|Fm7,Bb7|Ebm7(Abm7),(Gb6)|B7(F7),Bb7(Emaj7)|Ebmaj7|Ebmaj7(Abm7),(Db7)'}}, {'MainSegment': {'Chords': 'Gbmaj7|Ebm7,Ab7|Cm7b5,B7|Bb7'}}]",Eb,1954
Dance Cadaverous,Wayne Shorter,Waltz,3/4,"[{'Label': 'i', 'MainSegment': {'Chords': 'Abmaj7|Abmaj7|Abmaj7|Abmaj7|A7sus|A7sus|A7b9#5|A7b9#5'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Bm/maj7|Bm/maj7|Cm/maj7|Cm/maj7|C#m7b5|C#m7b5|F#7b9|F#7b9|Bm/maj7|Bm/maj7|Cm/maj7|Cm/maj7|C#m7|C#m7|F#7sus|F#7|Gmaj7|Gmaj7|C13#11|C13#11|C7alt|C7alt/Ab|Abm11|Abm11|Fm7b5|Fm7b5|Bb7#5#9|Bb7#5#9|Bbm7|Bbm7|C#m7b5|F#7b9'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Bm/maj7|Bm/maj7|Cm/maj7|Cm/maj7|C#m7b5|C#m7b5|F#7b9|F#7b9|Bm/maj7/D|Bm/maj7/D|Am7/D|D7|Gmaj7#5|Gmaj7#5/F#|Em7|Em7/D|C#m7b5|C#m7b5|C13#11|C13#11|C7alt|C7alt/Ab|Abm11|Abm11|G7sus|G7sus|C#m7b5|F#7b9|Cmaj7#11|Cmaj7#11|Cmaj7#11|Cmaj7#11'}}]",,1964
Dance Of The Infidels,Bud Powell,Up Tempo Swing,4/4,"[{'Label': 'i', 'Repeats': 1, 'MainSegment': {'Chords': 'Fmaj7|Fm7(Bbm7),Bb7(Eb7)|Am7,Gm7|F#m7,B7|Fm7|Bb7|Am7,D7|Abm7,Db7|Gm7|Dbm7,Gb7|Fmaj7/C|Fmaj7/C|Fmaj7/C|Fmaj7/C'}}, {'Label': 'A', 'MainSegment': {'Chords': 'Fmaj7|Fm7(Bbm7),Bb7(Eb7)|Am7,Gm7|F#m7,B7|Fm7|Bb7|Am7,D7|Abm7,Db7|Gm7|Dbm7,Gb7|Fmaj7|Fmaj7'}}]",F,1947
Dancing In The Dark,Arthur Schwartz,Medium Swing,4/4,"[{'Label': 'A', 'MainSegment': {'Chords': 'Cmaj7|Cmaj7|C07|C07|Dm7|Dm7|Dm7b5|G7b9|Cmaj7|Cm7|Em7b5|A7b9|Dm7b5|Dm7b5|Dm7b5,Ab9|G7b9'}}, {'Label': 'B', 'MainSegment': {'Chords': 'Cmaj7|Cmaj7|C07|C07|Dm7|Dm7|Dm7b5|Dm7b5,G7b9|Cmaj7|Cm7|Eb7|Db7|C6|Dm7b5,G7sus|C6|Dm7,G7'}}]",,1934
