datetime,load_mw_mean,load_mw_max,load_mw_min,load_mw_std,la_temp_mean,la_temp_max,la_temp_min,la_temp_std,la_rhum_mean,la_rhum_max,la_rhum_min,la_rhum_std,la_prcp_sum,la_prcp_max,la_wspd_mean,la_wspd_max,la_wspd_std,sf_temp_mean,sf_temp_max,sf_temp_min,sf_temp_std,sf_rhum_mean,sf_rhum_max,sf_rhum_min,sf_rhum_std,sf_prcp_sum,sf_prcp_max,sf_wspd_mean,sf_wspd_max,sf_wspd_std,sd_temp_mean,sd_temp_max,sd_temp_min,sd_temp_std,sd_rhum_mean,sd_rhum_max,sd_rhum_min,sd_rhum_std,sd_prcp_sum,sd_prcp_max,sd_wspd_mean,sd_wspd_max,sd_wspd_std,target_load_mw_mean,year,month,day,day_of_week,day_name,day_of_year,is_weekend
2025-01-01,22574.94065233333,24870.967744,19916.727203,1631.9027015097438,11.875,19.2,6.8,4.169271649455876,68.125,92,33,20.24698045120073,0.0,0.0,5.45,9.7,1.898282977026756,9.504166666666666,12.4,5.8,2.4497522796976954,73.0,85,60,8.134734970696853,0.0,0.0,7.316666666666666,13.4,2.964231210055428,12.783333333333333,16.1,10.0,1.71810478666786,82.625,93,62,9.178483819095137,0.0,0.0,7.208333333333333,16.6,4.159213624113877,22574.94065233333,2025,1,1,2,Wednesday,1,0
2025-01-02,24140.178717166666,27473.091131,19700.929643,2522.3303493565986,13.683333333333332,23.6,7.7,5.34071047762347,56.958333333333336,84,20,22.664815035197407,0.0,0.0,4.575,8.0,1.6558854192664205,11.083333333333334,15.1,8.2,2.04464659786109,75.45833333333333,86,64,7.162578881372551,0.0,0.0,5.920833333333333,9.3,2.3754137702114435,12.775,20.6,6.7,4.700531884797719,73.5,97,36,20.20546632882343,0.0,0.0,3.7916666666666665,11.2,4.178819956863906,24140.178717166666,2025,1,2,3,Thursday,2,0
2025-01-03,24641.971448124987,27373.142624,21211.978156,1933.0714050732774,13.5875,21.4,9.4,3.1570917409650243,63.458333333333336,81,31,12.631840950435587,0.0,0.0,5.1375,13.2,2.207657129175633,12.633333333333333,15.7,10.0,1.6058768880926542,82.54166666666667,92,70,7.0524689889838985,5.7,1.7,7.875,22.2,7.475481662538979,12.779166666666667,17.8,8.9,2.513092528732481,85.16666666666667,97,63,11.97703115810921,0.0,0.0,4.408333333333334,16.6,5.111106122660872,24641.971448124987,2025,1,3,4,Friday,3,0
2025-01-04,23242.35904541666,26109.3112459999,20251.253931,1748.7944125845027,12.391666666666666,17.3,8.3,2.8915042973250573,80.875,98,49,17.688887447503156,0.0,0.0,7.820833333333333,13.9,3.3974388264853483,11.0,14.4,8.0,1.9506966425624332,84.91666666666667,93,71,5.307227776030218,0.0,0.0,7.579166666666667,22.1,4.899332622401497,13.583333333333334,17.2,10.0,2.2389179581191456,74.54166666666667,86,60,7.939878252635032,0.0,0.0,6.858333333333333,16.6,5.13723971448267,23242.35904541666,2025,1,4,5,Saturday,4,1
2025-01-05,22584.144627291655,25099.710522,20115.85513,1519.4593339618498,13.295833333333334,23.3,7.3,5.40703882366122,50.875,76,15,22.587631282552,0.0,0.0,6.741666666666667,10.5,1.9502322418372255,10.383333333333333,14.6,7.6,2.2338632293710887,83.625,94,65,8.155086436243867,0.0,0.0,4.5375,10.7,3.1498533437219773,13.841666666666667,22.8,7.2,4.9639497480785675,69.25,90,26,20.726479597889725,0.0,0.0,4.466666666666667,13.0,4.360959873066107,22584.144627291655,2025,1,5,6,Sunday,5,1
2025-01-06,24408.498038333313,26883.053509,20036.645827,2249.7518960165826,14.795833333333334,22.3,8.7,4.6249304734296235,35.208333333333336,45,19,9.394629208809388,0.0,0.0,5.758333333333333,9.8,2.039163653510209,10.608333333333333,15.0,8.0,1.9708565047508764,88.0,93,64,6.990677021390078,0.0,0.0,5.441666666666666,15.1,3.6858031590870706,15.383333333333333,22.8,8.9,5.043348324163282,44.875,74,21,17.311249170007542,0.0,0.0,4.633333333333334,13.0,4.473172851826637,24408.498038333313,2025,1,6,0,Monday,6,0
2025-01-07,24185.514236124993,26807.390853,20648.692088,1893.6157010953402,15.029166666666667,22.1,9.3,4.066670378948175,50.791666666666664,77,15,19.64462348542364,0.0,0.0,9.554166666666667,26.1,5.665838068149562,13.9375,19.5,9.7,3.09485021060583,66.0,93,30,25.954810226874002,0.0,0.0,15.0875,28.5,7.248766761678665,15.8375,18.9,12.2,1.8004377487034982,69.41666666666667,87,38,13.021442739362362,0.0,0.0,9.841666666666667,18.4,5.094576542258202,24185.514236124993,2025,1,7,1,Tuesday,7,0
2025-01-08,23571.17409407083,25989.9919959999,20469.066233,1703.0771233373682,16.954166666666666,22.1,12.2,3.1260447528948543,15.958333333333334,21,10,3.3424693639995215,0.0,0.0,20.520833333333332,31.6,5.977056070956864,15.862499999999999,17.9,12.4,1.7638427663337284,34.583333333333336,44,20,5.77789390444429,0.0,0.0,17.629166666666666,27.9,6.7733158771029185,17.054166666666667,23.3,12.2,3.554663705327272,33.875,70,17,15.06309195120427,0.0,0.0,11.612499999999999,24.1,7.530016022848013,23571.17409407083,2025,1,8,2,Wednesday,8,0
2025-01-09,23800.233914217915,26751.942931,20507.422434,1897.2657734656773,14.516666666666666,22.3,7.4,5.135102273793467,16.083333333333332,23,10,4.373006792333749,0.0,0.0,10.525,20.8,5.166552125892589,12.583333333333334,20.4,7.8,3.710463075127423,54.291666666666664,74,30,13.69379156903711,0.0,0.0,4.579166666666667,11.0,2.8785532547756882,14.4125,21.7,7.2,4.648544653039739,39.541666666666664,57,20,10.236249171520264,0.0,0.0,4.241666666666666,13.0,4.891511428788755,23800.233914217915,2025,1,9,3,Thursday,9,0
2025-01-10,23684.954365041656,25944.608881,20367.716719,1742.8600908454482,13.395833333333334,20.6,6.8,4.625964450949583,25.541666666666668,37,12,8.505646036178181,0.0,0.0,6.8,11.8,2.6292667187375405,13.816666666666668,20.1,8.9,2.793107458613492,53.125,73,35,8.99426145553012,0.0,0.0,6.508333333333333,16.4,4.004987832220204,15.525,20.0,10.0,3.0662610002638595,34.333333333333336,58,17,12.828862387013414,0.0,0.0,6.9750000000000005,18.4,5.686081404546583,23684.954365041656,2025,1,10,4,Friday,10,0
2025-01-11,22529.12288162499,24677.883089,20315.29275,1408.3513114330299,13.304166666666667,19.9,8.9,3.4280783267732886,32.083333333333336,48,21,6.858296573060834,0.0,0.0,8.225,11.7,1.9400246524655074,13.666666666666666,20.1,9.6,3.4440454810240704,59.375,88,21,23.55163153214841,0.0,0.0,13.254166666666665,27.5,6.742466273499287,12.9375,18.9,6.7,4.07332921202856,55.0,68,32,10.176699729838957,0.0,0.0,4.408333333333333,13.0,4.914390286094296,22529.12288162499,2025,1,11,5,Saturday,11,1
2025-01-12,22001.48728278332,25078.768139,19859.008573,1564.9585779764186,12.770833333333334,20.4,7.1,4.224820980685522,30.25,60,11,13.689888366172344,0.0,0.0,9.395833333333334,12.7,2.101444465261861,14.3125,19.7,10.0,2.664796672233704,35.708333333333336,52,17,9.05768550274664,0.0,0.0,12.008333333333333,23.3,5.707197337509485,12.8375,19.4,7.2,4.491229375610627,54.625,77,16,21.36191755763349,0.0,0.0,4.708333333333333,14.8,5.52841801938868,22001.48728278332,2025,1,12,6,Sunday,12,1
2025-01-13,24454.22465850832,27242.0304919999,21052.321618,2090.219174764477,11.383333333333333,19.3,5.0,4.966117078823223,29.666666666666668,43,11,11.468924617594185,0.0,0.0,6.8374999999999995,14.4,2.3499884366042982,12.549999999999999,18.1,9.1,2.9982603651769972,48.583333333333336,71,28,13.367438266066593,0.0,0.0,16.966666666666665,37.4,8.785544781141878,12.295833333333334,20.0,5.0,5.097866490368612,40.083333333333336,65,16,15.483277561872066,0.0,0.0,5.25,16.6,5.631973937686733,24454.22465850832,2025,1,13,0,Monday,13,0
2025-01-14,24955.431194297078,28564.907024,21711.939436,2039.882122792989,11.429166666666667,19.1,4.5,5.029001038901797,22.125,31,11,6.6156106557011105,0.0,0.0,7.645833333333333,12.0,1.9827471426997583,10.004166666666666,15.9,5.1,3.4110407906330167,54.541666666666664,71,35,12.233166487824834,0.0,0.0,5.825,14.7,3.871327151384068,12.220833333333333,22.8,4.4,6.288912200584985,30.583333333333332,53,9,12.31441949651837,0.0,0.0,6.1000000000000005,27.7,8.229797398319796,24955.431194297078,2025,1,14,1,Tuesday,14,0
