la_temp_mean,la_temp_max,la_temp_min,la_temp_std,la_rhum_mean,la_rhum_max,la_rhum_min,la_rhum_std,la_prcp_sum,la_prcp_max,la_wspd_mean,la_wspd_max,la_wspd_std,sf_temp_mean,sf_temp_max,sf_temp_min,sf_temp_std,sf_rhum_mean,sf_rhum_max,sf_rhum_min,sf_rhum_std,sf_prcp_sum,sf_prcp_max,sf_wspd_mean,sf_wspd_max,sf_wspd_std,sd_temp_mean,sd_temp_max,sd_temp_min,sd_temp_std,sd_rhum_mean,sd_rhum_max,sd_rhum_min,sd_rhum_std,sd_prcp_sum,sd_prcp_max,sd_wspd_mean,sd_wspd_max,sd_wspd_std,day_name,is_weekend,month_sin,month_cos,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos
11.875,19.2,6.8,4.169271649455876,68.125,92,33,20.24698045120073,0.0,0.0,5.45,9.7,1.898282977026756,9.504166666666666,12.4,5.8,2.4497522796976954,73.0,85,60,8.134734970696853,0.0,0.0,7.316666666666666,13.4,2.964231210055428,12.783333333333331,16.1,10.0,1.71810478666786,82.625,93,62,9.178483819095137,0.0,0.0,7.208333333333333,16.6,4.159213624113877,Wednesday,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.017213356155834685,0.9998518392091162
13.683333333333332,23.6,7.7,5.34071047762347,56.958333333333336,84,20,22.664815035197407,0.0,0.0,4.575,8.0,1.6558854192664203,11.083333333333334,15.1,8.2,2.04464659786109,75.45833333333333,86,64,7.162578881372551,0.0,0.0,5.920833333333333,9.3,2.3754137702114435,12.775,20.6,6.7,4.700531884797719,73.5,97,36,20.20546632882343,0.0,0.0,3.7916666666666665,11.2,4.178819956863906,Thursday,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.03442161162274574,0.9994074007397048
13.5875,21.4,9.4,3.1570917409650243,63.458333333333336,81,31,12.631840950435588,0.0,0.0,5.1375,13.2,2.207657129175633,12.633333333333333,15.7,10.0,1.6058768880926542,82.54166666666667,92,70,7.0524689889838985,5.7,1.7,7.875,22.2,7.475481662538979,12.779166666666669,17.8,8.9,2.513092528732481,85.16666666666667,97,63,11.97703115810921,0.0,0.0,4.408333333333334,16.6,5.111106122660872,Friday,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.051619667223253764,0.998666816288476
12.391666666666666,17.3,8.3,2.8915042973250573,80.875,98,49,17.688887447503156,0.0,0.0,7.820833333333333,13.9,3.3974388264853483,11.0,14.4,8.0,1.9506966425624332,84.91666666666667,93,71,5.307227776030218,0.0,0.0,7.579166666666667,22.1,4.899332622401497,13.583333333333334,17.2,10.0,2.2389179581191456,74.54166666666667,86,60,7.939878252635032,0.0,0.0,6.858333333333333,16.6,5.13723971448267,Saturday,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.06880242680231986,0.9976303053065857
13.295833333333334,23.3,7.3,5.40703882366122,50.875,76,15,22.587631282552,0.0,0.0,6.741666666666667,10.5,1.9502322418372255,10.383333333333333,14.6,7.6,2.2338632293710887,83.625,94,65,8.155086436243867,0.0,0.0,4.5375,10.7,3.1498533437219773,13.841666666666669,22.8,7.2,4.9639497480785675,69.25,90,26,20.726479597889725,0.0,0.0,4.466666666666667,13.0,4.360959873066107,Sunday,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.08596479873744647,0.9962981749346078
14.795833333333334,22.3,8.7,4.6249304734296235,35.208333333333336,45,19,9.394629208809388,0.0,0.0,5.758333333333333,9.8,2.039163653510209,10.608333333333333,15.0,8.0,1.9708565047508764,88.0,93,64,6.990677021390078,0.0,0.0,5.441666666666666,15.1,3.6858031590870706,15.383333333333333,22.8,8.9,5.043348324163282,44.875,74,21,17.311249170007542,0.0,0.0,4.633333333333334,13.0,4.473172851826637,Monday,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.10310169744743485,0.9946708199115211
15.029166666666669,22.1,9.3,4.066670378948175,50.791666666666664,77,15,19.64462348542364,0.0,0.0,9.554166666666667,26.1,5.665838068149562,13.9375,19.5,9.7,3.09485021060583,66.0,93,30,25.954810226874,0.0,0.0,15.0875,28.5,7.248766761678665,15.8375,18.9,12.2,1.8004377487034982,69.41666666666667,87,38,13.021442739362362,0.0,0.0,9.841666666666669,18.4,5.094576542258202,Tuesday,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.1202080448993527,0.9927487224577402
16.954166666666666,22.1,12.2,3.1260447528948543,15.958333333333334,21,10,3.3424693639995215,0.0,0.0,20.520833333333332,31.6,5.977056070956864,15.8625,17.9,12.4,1.7638427663337284,34.583333333333336,44,20,5.77789390444429,0.0,0.0,17.629166666666666,27.9,6.7733158771029185,17.054166666666667,23.3,12.2,3.554663705327272,33.875,70,17,15.06309195120427,0.0,0.0,11.6125,24.1,7.530016022848013,Wednesday,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.13727877211326478,0.9905324521322229
14.516666666666666,22.3,7.4,5.135102273793467,16.083333333333332,23,10,4.373006792333749,0.0,0.0,10.525,20.8,5.166552125892589,12.583333333333334,20.4,7.8,3.710463075127423,54.291666666666664,74,30,13.69379156903711,0.0,0.0,4.579166666666667,11.0,2.878553254775688,14.4125,21.7,7.2,4.648544653039739,39.541666666666664,57,20,10.236249171520264,0.0,0.0,4.241666666666666,13.0,4.891511428788755,Thursday,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.15430882066428117,0.9880226656636976
13.395833333333334,20.6,6.8,4.625964450949583,25.541666666666668,37,12,8.505646036178181,0.0,0.0,6.8,11.8,2.6292667187375405,13.816666666666668,20.1,8.9,2.793107458613492,53.125,73,35,8.99426145553012,0.0,0.0,6.508333333333333,16.4,4.004987832220204,15.525,20.0,10.0,3.0662610002638595,34.333333333333336,58,17,12.828862387013414,0.0,0.0,6.9750000000000005,18.4,5.686081404546583,Friday,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.1712931441814776,0.9852201067560606
